Wavenumber;HDPE;PS;PA6;PET;PMMA;PP
599.7532;87.6071;94.3528;73.8811;99.9215;98.9602;97.4806
601.6817;87.8526;94.4038;74.0936;100.164;98.6082;97.5328
603.6102;87.9897;94.3805;74.2051;100.327;98.2574;97.4783
605.5386;88.0051;94.3276;74.2774;100.407;98.012;97.3753
607.4671;87.8973;94.2756;74.3174;100.437;97.927;97.273
609.3956;87.6916;94.2334;74.2953;100.449;98.0003;97.1954
611.324;87.4403;94.1907;74.1928;100.447;98.1867;97.1474
613.2525;87.2052;94.1275;74.0397;100.417;98.4152;97.1181
615.181;87.0324;94.0266;73.9069;100.346;98.6126;97.093
617.1094;86.9347;93.8864;73.8607;100.244;98.7283;97.0654
619.0379;86.8941;93.7291;73.9146;100.133;98.7505;97.0442
620.9664;86.8833;93.5959;74.0244;100.03;98.703;97.0499
622.8948;86.8877;93.5293;74.1297;99.931;98.625;97.1015
624.8233;86.9147;93.5528;74.2033;99.8174;98.5489;97.2031
626.7518;86.9845;93.66;74.2626;99.6843;98.4945;97.3391
628.6802;87.1152;93.8159;74.3408;99.5443;98.4707;97.4774
630.6087;87.3076;93.9721;74.4456;99.4275;98.4816;97.5803
632.5372;87.5377;94.0849;74.538;99.3556;98.5241;97.6176
634.4656;87.7617;94.1293;74.5507;99.3215;98.5835;97.5782
636.3941;87.9285;94.104;74.4333;99.2902;98.6348;97.4777
638.3226;87.9993;94.0253;74.1906;99.224;98.6569;97.3565
640.251;87.9624;93.9181;73.8856;99.1108;98.6496;97.2654
642.1795;87.8372;93.8066;73.6033;98.9715;98.641;97.2438
644.108;87.6636;93.7081;73.399;98.839;98.6728;97.299
646.0364;87.4776;93.6272;73.2654;98.7268;98.7715;97.3997
647.9649;87.2894;93.5542;73.1365;98.617;98.9255;97.4922
649.8934;87.0778;93.4686;72.9255;98.4818;99.0847;97.5291
651.8218;86.8084;93.3497;72.5767;98.3226;99.1866;97.4974
653.7503;86.4672;93.1915;72.1004;98.1882;99.1959;97.4261
655.6788;86.0788;93.0074;71.5638;98.1483;99.1266;97.3634
657.6072;85.6892;92.8187;71.0383;98.2394;99.0268;97.3421
659.5357;85.3291;92.6361;70.5506;98.434;98.9416;97.3645
661.4642;84.9916;92.4484;70.0714;98.6448;98.8902;97.4117
663.3926;84.6344;92.2251;69.5376;98.7521;98.8659;97.4638
665.3211;84.2001;91.9302;68.8968;98.6567;98.8464;97.512
667.2496;83.6538;91.5491;68.1634;98.3568;98.8097;97.5594
669.178;83.0194;91.1111;67.4415;97.9799;98.7517;97.6098
671.1065;82.365;90.672;66.8543;97.6902;98.6925;97.6541
673.035;81.732;90.2646;66.445;97.5615;98.6584;97.6769
674.9634;81.0921;89.8734;66.1696;97.5626;98.6637;97.6728
676.8919;80.3588;89.4468;65.9631;97.621;98.7099;97.655
678.8204;79.4098;88.9134;65.7906;97.6758;98.7916;97.6493
680.7488;78.1047;88.1939;65.6638;97.6999;98.8973;97.6801
682.6773;76.3201;87.2239;65.6333;97.7039;99.007;97.7534
684.6058;74.0139;85.9916;65.7654;97.7184;99.0961;97.847
686.5342;71.2917;84.5714;66.1139;97.7626;99.1468;97.9215
688.4627;68.4347;83.1294;66.7057;97.8291;99.1555;97.9454
690.3912;65.8714;81.8962;67.5379;97.8951;99.1324;97.9126
692.3196;64.0924;81.1127;68.5736;97.9337;99.0934;97.8413
694.2481;63.5185;80.9633;69.7412;97.928;99.0516;97.7596
696.1766;64.3665;81.5196;70.945;97.8765;99.0123;97.6887
698.105;66.5881;82.728;72.0892;97.7889;98.9738;97.6364
700.0335;69.9102;84.4427;73.1048;97.678;98.932;97.6013
701.962;73.9319;86.4754;73.9606;97.5537;98.8849;97.5816
703.8904;78.2183;88.6309;74.6597;97.4219;98.8344;97.5788
705.8189;82.365;90.7248;75.2234;97.2736;98.7851;97.5941
707.7474;86.0429;92.5992;75.6793;97.0944;98.7399;97.6207
709.6758;89.0325;94.1411;76.0542;96.8699;98.6974;97.6422
711.6043;91.2391;95.2996;76.3727;96.5934;98.6534;97.64
713.5328;92.6874;96.0868;76.6544;96.2626;98.605;97.6065
715.4612;93.4895;96.5695;76.9106;95.921;98.5564;97.5547
717.3897;93.8073;96.8351;77.1343;95.6251;98.5145;97.5123
719.3182;93.8028;96.9594;77.3024;95.4409;98.4887;97.5098
721.2466;93.5951;96.9816;77.3959;95.4182;98.4823;97.5606
723.1751;93.2368;96.8996;77.433;95.5784;98.4861;97.6526
725.1036;92.7235;96.6872;77.4907;95.9101;98.481;97.7561
727.032;92.0213;96.318;77.6912;96.378;98.447;97.8406
728.9605;91.0967;95.7816;78.1538;96.9367;98.372;97.8879
730.889;89.9332;95.0887;78.9358;97.5439;98.2558;97.896
732.8174;88.5377;94.2658;79.994;98.1635;98.1058;97.8751
734.7459;86.9429;93.3509;81.1942;98.766;97.927;97.8395
736.6744;85.2119;92.3901;82.3677;99.3267;97.7122;97.8026
738.6028;83.4401;91.4371;83.3819;99.8268;97.4408;97.7739
740.5313;81.7477;90.5499;84.1848;100.254;97.09;97.759
742.4598;80.2589;89.7825;84.799;100.6;96.6534;97.7595
744.3882;79.0722;89.1744;85.2819;100.862;96.1569;97.7734
746.3167;78.236;88.7422;85.6838;101.042;95.6614;97.7958
748.2452;77.744;88.48;86.0288;101.146;95.248;97.8212
750.1736;77.554;88.3687;86.3221;101.187;94.9904;97.8449
752.1021;77.6178;88.3889;86.567;101.189;94.9294;97.8631
754.0306;77.9048;88.5305;86.7759;101.178;95.0598;97.8722
755.959;78.4055;88.7926;86.9681;101.173;95.3371;97.8694
757.8875;79.1184;89.177;87.1617;101.181;95.6977;97.8543
759.816;80.0321;89.6798;87.368;101.194;96.0825;97.8316
761.7444;81.118;90.2871;87.5904;101.199;96.4525;97.8112
763.6729;82.3336;90.9738;87.8257;101.186;96.7903;97.8031
765.6014;83.6318;91.7077;88.064;101.156;97.0917;97.8121
767.5298;84.9683;92.4535;88.2891;101.12;97.3549;97.8334
769.4583;86.3023;93.1778;88.4834;101.091;97.5744;97.8556
771.3868;87.5956;93.8542;88.6372;101.072;97.7429;97.867
773.3152;88.8119;94.4665;88.7563;101.058;97.8577;97.8621
775.2437;89.9198;95.0089;88.8616;101.039;97.925;97.8434
777.1722;90.897;95.4838;88.9784;101.005;97.9591;97.8179
779.1006;91.7331;95.897;89.1231;100.953;97.976;97.791
781.0291;92.4298;96.2543;89.2947;100.883;97.9875;97.7644
782.9576;92.9989;96.5603;89.4791;100.799;97.9971;97.7365
784.886;93.4579;96.8195;89.6593;100.705;98.002;97.707
786.8145;93.8259;97.0373;89.8268;100.613;97.997;97.6785
788.743;94.1192;97.2193;89.9834;100.539;97.9788;97.6554
790.6714;94.3488;97.3697;90.1371;100.506;97.9468;97.6394
792.5999;94.5224;97.4896;90.2934;100.526;97.9016;97.6245
794.5284;94.6465;97.5774;90.4508;100.599;97.8416;97.5959
796.4568;94.7296;97.6307;90.6018;100.707;97.7622;97.5336
798.3853;94.781;97.65;90.7379;100.821;97.6575;97.4209
800.3138;94.8088;97.6399;90.854;100.912;97.5258;97.2543
802.2422;94.8177;97.6099;90.9519;100.968;97.3758;97.0499
804.1707;94.8098;97.5722;91.0386;100.989;97.2294;96.8431
806.0992;94.7887;97.5388;91.1242;100.987;97.1171;96.6796
808.0276;94.7619;97.5187;91.2167;100.977;97.067;96.6004
809.9561;94.7385;97.5153;91.3195;100.969;97.0898;96.6276
811.8846;94.7244;97.5255;91.4302;100.968;97.1701;96.7553
813.813;94.7172;97.5409;91.5419;100.974;97.2689;96.9509
815.7415;94.7077;97.5516;91.6458;100.986;97.3397;97.1658
817.67;94.6863;97.5508;91.7316;100.996;97.3509;97.3527
819.5984;94.6493;97.5377;91.7863;100.999;97.3019;97.4815
821.5269;94.6004;97.5164;91.7929;100.987;97.2219;97.5479
823.4554;94.5434;97.4921;91.7346;100.96;97.151;97.5683
825.3839;94.4745;97.4646;91.6053;100.917;97.1132;97.5641
827.3123;94.378;97.4262;91.4222;100.864;97.0985;97.543
829.2408;94.2333;97.3638;91.2308;100.805;97.065;97.4893
831.1693;94.0273;97.2667;91.0958;100.743;96.9624;97.3722
833.0977;93.767;97.1347;91.0778;100.677;96.7611;97.1698
835.0262;93.4829;96.9825;91.2059;100.606;96.4729;96.8951
836.9547;93.2214;96.8365;91.4629;100.529;96.1502;96.6066
838.8831;93.0311;96.7265;91.7904;100.445;95.8656;96.391
840.8116;92.9474;96.6743;92.1136;100.357;95.6835;96.3258
842.7401;92.9824;96.6866;92.3724;100.273;95.6378;96.4406
844.6685;93.1229;96.7543;92.5424;100.201;95.7247;96.7011
846.597;93.3356;96.8572;92.6359;100.148;95.9113;97.0259
848.5255;93.5768;96.9722;92.6853;100.118;96.1525;97.3267
850.4539;93.8044;97.0794;92.7208;100.112;96.4079;97.5457
852.3824;93.9882;97.1658;92.7563;100.13;96.6517;97.6725
854.3109;94.1151;97.2253;92.7891;100.167;96.8744;97.7333
856.2393;94.1883;97.258;92.8098;100.21;97.078;97.7661
858.1678;94.2211;97.2684;92.8134;100.237;97.2679;97.7976
860.0963;94.2281;97.2637;92.8036;100.218;97.4464;97.8348
862.0247;94.2193;97.2515;92.7891;100.127;97.6094;97.8708
863.9532;94.1991;97.2375;92.7758;99.9598;97.7493;97.8964
865.8817;94.1688;97.2242;92.763;99.7413;97.8599;97.9081
867.8101;94.1307;97.2115;92.7454;99.5278;97.9406;97.9099
869.7386;94.0894;97.198;92.7183;99.3869;97.9975;97.909
871.6671;94.0504;97.1832;92.6832;99.3698;98.0396;97.9117
873.5955;94.0167;97.1676;92.6464;99.49;98.0736;97.9196
875.524;93.9865;97.1531;92.6142;99.7184;98.1013;97.9305
877.4525;93.9542;97.1402;92.5874;99.9978;98.1206;97.9407
879.3809;93.913;97.1279;92.5602;100.268;98.1285;97.948
881.3094;93.8582;97.1129;92.5245;100.488;98.1242;97.9521
883.2379;93.7884;97.0904;92.4764;100.641;98.1091;97.9518
885.1663;93.7032;97.0552;92.4204;100.735;98.0848;97.9407
887.0948;93.5993;97.0018;92.3682;100.786;98.0517;97.906
889.0233;93.4669;96.9239;92.3319;100.81;98.0095;97.8326
890.9517;93.2892;96.8148;92.3175;100.821;97.9586;97.7131
892.8802;93.0464;96.6684;92.3218;100.825;97.901;97.5584
894.8087;92.7251;96.482;92.3348;100.831;97.8399;97.4003
896.7371;92.3287;96.2598;92.3448;100.841;97.7768;97.2826
898.6656;91.886;96.017;92.3432;100.858;97.7104;97.2437
900.5941;91.4517;95.7798;92.3257;100.883;97.637;97.2982
902.5225;91.0961;95.5822;92.2905;100.911;97.5536;97.4305
904.451;90.8866;95.4583;92.2369;100.938;97.4611;97.6011
906.3795;90.8677;95.433;92.1653;100.961;97.3659;97.7643
908.3079;91.0458;95.5135;92.0784;100.976;97.278;97.8871
910.2364;91.3868;95.6861;91.9816;100.986;97.2076;97.9593
912.1649;91.827;95.9196;91.8795;100.995;97.162;97.9909
914.0933;92.2921;96.1744;91.771;101.005;97.1432;98.002
916.0218;92.7171;96.4133;91.6474;101.02;97.1475;98.0095
917.9503;93.0601;96.6106;91.4954;101.034;97.167;98.0206
919.8787;93.3067;96.7558;91.3069;101.042;97.1918;98.0332
921.8072;93.4646;96.851;91.0889;101.039;97.2118;98.0415
923.7357;93.5535;96.9053;90.8673;101.019;97.2191;98.0422
925.6641;93.5935;96.9285;90.6803;100.987;97.2085;98.0357
927.5926;93.5978;96.9276;90.5646;100.948;97.1779;98.024
929.5211;93.5709;96.9064;90.5385;100.911;97.1277;98.0078
931.4495;93.5125;96.8675;90.5924;100.883;97.0601;97.9846
933.378;93.424;96.8148;90.6878;100.865;96.9778;97.9523
935.3065;93.3137;96.7544;90.7679;100.854;96.8839;97.9119
937.2349;93.198;96.6941;90.7753;100.843;96.7807;97.8699
939.1634;93.0971;96.6417;90.67;100.824;96.6694;97.8364
941.0919;93.0286;96.604;90.4427;100.794;96.5502;97.8197
943.0203;93.0007;96.5848;90.1145;100.751;96.4226;97.8227
944.9488;93.0098;96.5836;89.7263;100.701;96.2861;97.8398
946.8773;93.0406;96.5952;89.3201;100.65;96.1407;97.8598
948.8057;93.0708;96.609;88.9259;100.601;95.9872;97.8698
950.7342;93.077;96.612;88.5618;100.557;95.8275;97.8613
952.6627;93.0407;96.5929;88.245;100.516;95.6649;97.8335
954.5911;92.9549;96.5471;88.0054;100.471;95.5034;97.7922
956.5196;92.8278;96.48;87.8859;100.413;95.3492;97.742
958.4481;92.6836;96.4064;87.9257;100.332;95.21;97.6755
960.3765;92.5561;96.3449;88.1344;100.221;95.0949;97.5673
962.305;92.4784;96.3114;88.4758;100.083;95.0128;97.3799
964.2335;92.4695;96.3125;88.8742;99.9293;94.9696;97.0849
966.1619;92.5256;96.3434;89.2442;99.7787;94.9644;96.6906
968.0904;92.6212;96.39;89.5252;99.656;94.9878;96.2565
970.0189;92.7197;96.4356;89.7022;99.5821;95.0222;95.8832
971.9473;92.7895;96.4667;89.8006;99.5691;95.0456;95.675
973.8758;92.817;96.4784;89.8632;99.6154;95.0382;95.695
975.8043;92.8106;96.4748;89.9251;99.7066;94.9887;95.9368
977.7327;92.7938;96.4666;90.0015;99.8183;94.8991;96.3294
979.6612;92.7928;96.4666;90.0917;99.9254;94.7842;96.7683
981.5897;92.8245;96.4849;90.1902;100.01;94.6676;97.1546
983.5181;92.892;96.5252;90.294;100.063;94.5755;97.4194
985.4466;92.9849;96.5837;90.4031;100.091;94.5308;97.528
987.3751;93.0844;96.6494;90.5154;100.102;94.5491;97.4733
989.3035;93.1677;96.7064;90.6229;100.108;94.6388;97.2722
991.232;93.2118;96.7377;90.7131;100.114;94.8023;96.9701
993.1605;93.1983;96.7307;90.774;100.116;95.0382;96.6431
995.0889;93.12;96.6826;90.7987;100.11;95.3403;96.3855
997.0174;92.987;96.6034;90.7872;100.088;95.6966;96.2805
998.9459;92.827;96.5137;90.7439;100.045;96.0864;96.3667
1000.8743;92.6765;96.4373;90.6754;99.9784;96.4807;96.6211
1002.8028;92.5655;96.3907;90.5883;99.8797;96.846;96.9714
1004.7313;92.5039;96.3758;90.4886;99.7393;97.1517;97.3297
1006.6597;92.4766;96.3785;90.3821;99.5486;97.3784;97.6287
1008.5882;92.4514;96.376;90.274;99.3072;97.5228;97.8406
1010.5167;92.3925;96.3465;90.1672;99.0292;97.5979;97.9736
1012.4451;92.2711;96.2762;90.0605;98.7431;97.6278;98.0533
1014.3736;92.0677;96.1598;89.9458;98.4864;97.638;98.1038
1016.3021;91.7691;95.9956;89.8096;98.2984;97.6475;98.1396
1018.2305;91.3695;95.7833;89.6382;98.2112;97.6637;98.1671
1020.159;90.8827;95.5294;89.4286;98.2434;97.6826;98.1894
1022.0875;90.3599;95.2568;89.1989;98.3939;97.6934;98.2091
1024.016;89.897;95.0125;88.9912;98.6394;97.6851;98.2274
1025.9445;89.6185;94.8611;88.8629;98.937;97.6522;98.2429
1027.8729;89.636;94.8638;88.8654;99.2334;97.5977;98.2521
1029.8014;89.9983;95.0511;89.0212;99.4803;97.5321;98.2521
1031.7299;90.662;95.4045;89.3105;99.6488;97.4693;98.2425
1033.6583;91.4996;95.8587;89.6751;99.7363;97.421;98.2254
1035.5868;92.3447;96.3248;90.0397;99.7622;97.3918;98.2038
1037.5153;93.052;96.7231;90.3391;99.7551;97.3783;98.1807
1039.4437;93.5415;97.0077;90.5381;99.7396;97.3706;98.1595
1041.3722;93.8094;97.1733;90.6364;99.7295;97.3575;98.1446
1043.3007;93.9059;97.2439;90.6582;99.7283;97.3293;98.1413
1045.2291;93.8984;97.2536;90.6349;99.7344;97.2787;98.1541
1047.1576;93.8406;97.2303;90.5897;99.7458;97.1994;98.1837
1049.0861;93.7593;97.1885;90.5313;99.7606;97.0839;98.2257
1051.0145;93.6588;97.1318;90.4562;99.7753;96.9258;98.2724
1052.943;93.5326;97.0589;90.357;99.7838;96.7237;98.3153
1054.8715;93.3739;96.9688;90.2313;99.7784;96.4875;98.3489
1056.7999;93.1804;96.8626;90.0859;99.7516;96.2388;98.3717
1058.7284;92.9566;96.7439;89.9353;99.6985;96.0069;98.3862
1060.6569;92.7153;96.6189;89.7963;99.617;95.8185;98.3957
1062.5853;92.4796;96.4976;89.6809;99.5075;95.6887;98.4027
1064.5138;92.2805;96.3935;89.593;99.3715;95.6166;98.4076
1066.4423;92.1515;96.3226;89.53;99.2117;95.5883;98.4091
1068.3707;92.1181;96.2991;89.488;99.0319;95.5849;98.4057
1070.2992;92.1887;96.3304;89.4664;98.8362;95.5902;98.3974
1072.2277;92.3512;96.4138;89.4693;98.6288;95.5939;98.3856
1074.1561;92.5781;96.5361;89.5017;98.4143;95.5907;98.3729
1076.0846;92.8359;96.6779;89.564;98.1989;95.5764;98.3609
1078.0131;93.0948;96.8197;89.6485;97.9908;95.5454;98.3493
1079.9415;93.3341;96.9471;89.7402;97.7995;95.491;98.3361
1081.87;93.5428;97.0532;89.8212;97.6332;95.4075;98.318
1083.7985;93.7164;97.1379;89.8759;97.4963;95.2925;98.2927
1085.7269;93.8549;97.2043;89.8937;97.3879;95.1486;98.2592
1087.6554;93.9612;97.2568;89.8685;97.3037;94.9822;98.2177
1089.5839;94.0414;97.2989;89.7969;97.2398;94.8023;98.1689
1091.5123;94.104;97.3338;89.6766;97.1954;94.6182;98.1127
1093.4408;94.1576;97.3646;89.5069;97.1731;94.437;98.0488
1095.3693;94.2081;97.3941;89.2913;97.1756;94.2617;97.9788
1097.2977;94.2566;97.4235;89.0394;97.2026;94.0897;97.9083
1099.2262;94.2998;97.452;88.7673;97.2482;93.9136;97.848
1101.1547;94.3329;97.4768;88.4955;97.303;93.7232;97.8108
1103.0831;94.3523;97.4945;88.2438;97.3578;93.5095;97.8063
1105.0116;94.3584;97.503;88.0272;97.4069;93.2674;97.8362
1106.9401;94.3554;97.5024;87.8524;97.4496;92.9971;97.8914
1108.8685;94.3507;97.4956;87.7197;97.4878;92.7032;97.956
1110.797;94.3522;97.4873;87.6263;97.5227;92.3919;98.0134
1112.7255;94.3664;97.4829;87.5706;97.5526;92.0689;98.0531
1114.6539;94.3964;97.4869;87.5553;97.5731;91.738;98.0739
1116.5824;94.4407;97.5011;87.5858;97.5802;91.4004;98.0815
1118.5109;94.4937;97.524;87.6671;97.5746;91.0562;98.084
1120.4393;94.5472;97.5513;87.799;97.5632;90.7046;98.0871
1122.3678;94.593;97.5774;87.9732;97.5591;90.3451;98.0918
1124.2963;94.625;97.5975;88.1713;97.5782;89.9783;98.096
1126.2247;94.6396;97.6083;88.3664;97.6356;89.6063;98.0962
1128.1532;94.6358;97.6087;88.526;97.7425;89.2341;98.0893
1130.0817;94.6136;97.5983;88.6181;97.9051;88.8707;98.0731
1132.0101;94.574;97.5775;88.6178;98.1235;88.5289;98.0461
1133.9386;94.5195;97.5469;88.5133;98.3917;88.2238;98.0069
1135.8671;94.4535;97.5081;88.3083;98.698;87.9713;97.9547
1137.7955;94.3779;97.4618;88.0191;99.0247;87.7854;97.8889
1139.724;94.2888;97.4064;87.6667;99.3504;87.6774;97.8083
1141.6525;94.1732;97.3357;87.2687;99.6535;87.6565;97.7108
1143.5809;94.0129;97.2404;86.8338;99.917;87.7295;97.5945
1145.5094;93.7952;97.1136;86.3624;100.132;87.8999;97.4611
1147.4379;93.5275;96.9588;85.8519;100.298;88.1651;97.3185
1149.3663;93.2457;96.7953;85.3017;100.424;88.5124;97.1808
1151.2948;93.0077;96.6551;84.7142;100.521;88.9177;97.0618
1153.2233;92.8722;96.5712;84.0905;100.599;89.3487;96.9664
1155.1517;92.8727;96.5638;83.4269;100.664;89.771;96.8853
1157.0802;93.0015;96.6302;82.7154;100.718;90.1564;96.7975
1159.0087;93.2133;96.7467;81.9545;100.759;90.4879;96.6833
1160.9371;93.4461;96.879;81.1631;100.787;90.7607;96.5404
1162.8656;93.6449;96.9957;80.3917;100.798;90.9788;96.3935
1164.7941;93.7774;97.0768;79.7199;100.792;91.1503;96.2893
1166.7225;93.8339;97.1147;79.2386;100.77;91.2839;96.2789
1168.651;93.8161;97.1092;79.0217;100.734;91.3876;96.3941
1170.5795;93.728;97.063;79.0994;100.692;91.469;96.6308
1172.5079;93.5753;96.9804;79.4452;100.652;91.5358;96.949
1174.4364;93.3731;96.8708;79.983;100.623;91.5935;97.2886
1176.3649;93.1536;96.7519;80.6114;100.61;91.6441;97.5917
1178.2933;92.9627;96.6475;81.2339;100.611;91.684;97.8219
1180.2218;92.8456;96.5813;81.7808;100.623;91.7077;97.9712
1182.1503;92.8281;96.5679;82.2126;100.635;91.7127;98.0536
1184.0787;92.9053;96.607;82.5075;100.642;91.7067;98.0931
